"Method","accuracyGroup","samplingMethod","nUndersample","kOversample","max.depth","eta","nround","nthread","B","mean","lower","upper"
"XGBoost","accuracy.all","oversample",,3,50,0.9,12,12,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,2,2,50,0.996348717948718,0.994076923076923,0.998461538461539
"XGBoost","accuracy.all","oversample",,3,50,0.95,2,4,50,0.996646153846154,0.994589743589744,0.998461538461539
"XGBoost","accuracy.all","oversample",,3,50,0.95,2,6,50,0.996717948717949,0.994871794871795,0.998461538461539
"XGBoost","accuracy.all","oversample",,3,50,0.95,2,8,50,0.996851282051282,0.994358974358974,0.998461538461539
"XGBoost","accuracy.all","oversample",,3,50,0.95,2,10,50,0.996369230769231,0.994871794871795,0.997717948717949
"XGBoost","accuracy.all","oversample",,3,50,0.95,2,12,50,0.99654358974359,0.994589743589744,0.997948717948718
"XGBoost","accuracy.all","oversample",,3,50,0.95,4,2,50,0.999948717948718,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,4,4,50,0.999897435897436,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,4,6,50,0.999897435897436,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,4,8,50,0.999907692307692,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,4,10,50,0.99988717948718,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,4,12,50,0.999928205128205,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,6,2,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,6,4,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,6,6,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,6,8,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,6,10,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,6,12,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,8,2,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,8,4,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,8,6,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,8,8,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,8,10,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,8,12,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,10,2,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,10,4,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,10,6,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,10,8,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,10,10,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,10,12,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,12,2,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,12,4,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,12,6,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,12,8,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,12,10,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.95,12,12,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,100,0.1,2,2,50,0.986769230769231,0.983025641025641,0.990307692307692
"XGBoost","accuracy.all","oversample",,3,100,0.1,2,4,50,0.9868,0.983820512820513,0.99025641025641
"XGBoost","accuracy.all","oversample",,3,100,0.1,2,6,50,0.986902564102564,0.983589743589744,0.991051282051282
"XGBoost","accuracy.all","oversample",,3,100,0.1,2,8,50,0.986420512820513,0.982794871794872,0.98974358974359
"XGBoost","accuracy.all","oversample",,3,100,0.1,2,10,50,0.987189743589744,0.982461538461538,0.991051282051282
"XGBoost","accuracy.all","oversample",,3,100,0.1,2,12,50,0.986594871794872,0.981717948717949,0.989512820512821
"XGBoost","accuracy.all","oversample",,3,100,0.1,4,2,50,0.991907692307692,0.987358974358974,0.995666666666667
"XGBoost","accuracy.all","oversample",,3,100,0.1,4,4,50,0.9912,0.987179487179487,0.995153846153846
"XGBoost","accuracy.all","oversample",,3,100,0.1,4,6,50,0.991333333333333,0.987692307692308,0.994641025641026
"XGBoost","accuracy.all","oversample",,3,100,0.1,4,8,50,0.991364102564103,0.987923076923077,0.994871794871795
"XGBoost","accuracy.all","oversample",,3,100,0.1,4,10,50,0.991394871794872,0.987692307692308,0.994641025641026
"XGBoost","accuracy.all","oversample",,3,100,0.1,4,12,50,0.991764102564103,0.988717948717949,0.995384615384615
"XGBoost","accuracy.all","oversample",,3,100,0.1,6,2,50,0.994051282051282,0.991282051282051,0.997435897435897
"XGBoost","accuracy.all","oversample",,3,100,0.1,6,4,50,0.994276923076923,0.991794871794872,0.996692307692308
"XGBoost","accuracy.all","oversample",,3,100,0.1,6,6,50,0.994102564102564,0.989974358974359,0.997205128205128
"XGBoost","accuracy.all","oversample",,3,100,0.1,6,8,50,0.994235897435897,0.99025641025641,0.997717948717949
"XGBoost","accuracy.all","oversample",,3,100,0.1,6,10,50,0.994123076923077,0.991512820512821,0.996179487179487
"XGBoost","accuracy.all","oversample",,3,100,0.1,6,12,50,0.9944,0.991,0.996923076923077
"XGBoost","accuracy.all","oversample",,3,100,0.1,8,2,50,0.995610256410256,0.993564102564102,0.997948717948718
"XGBoost","accuracy.all","oversample",,3,100,0.1,8,4,50,0.996051282051282,0.994358974358974,0.998230769230769
"XGBoost","accuracy.all","oversample",,3,100,0.1,8,6,50,0.996266666666667,0.993564102564102,0.998461538461539
"XGBoost","accuracy.all","oversample",,3,100,0.1,8,8,50,0.996020512820513,0.993564102564102,0.997948717948718
"XGBoost","accuracy.all","oversample",,3,100,0.1,8,10,50,0.995805128205128,0.993333333333333,0.997948717948718
"XGBoost","accuracy.all","oversample",,3,100,0.1,8,12,50,0.995979487179487,0.993051282051282,0.997435897435897
"XGBoost","accuracy.all","oversample",,3,100,0.1,10,2,50,0.997005128205128,0.994871794871795,0.998974358974359
"XGBoost","accuracy.all","oversample",,3,100,0.1,10,4,50,0.996933333333333,0.994871794871795,0.998974358974359
"XGBoost","accuracy.all","oversample",,3,100,0.1,10,6,50,0.997046153846154,0.995384615384615,0.998974358974359
"XGBoost","accuracy.all","oversample",,3,100,0.1,10,8,50,0.997220512820513,0.995897435897436,0.998974358974359
