"Method","accuracyGroup","samplingMethod","nUndersample","kOversample","max.depth","eta","nround","nthread","B","mean","lower","upper"
"XGBoost","accuracy.all","undersample",1000,,50,0.5,4,8,100,0.886958974358974,0.874307692307692,0.898051282051282
"XGBoost","accuracy.all","undersample",1000,,50,0.5,4,10,100,0.88611282051282,0.871282051282051,0.898461538461538
"XGBoost","accuracy.all","undersample",1000,,50,0.5,4,12,100,0.885610256410256,0.869179487179487,0.897538461538462
"XGBoost","accuracy.all","undersample",1000,,50,0.5,6,2,100,0.891794871794872,0.878410256410256,0.903153846153846
"XGBoost","accuracy.all","undersample",1000,,50,0.5,6,4,100,0.892061538461538,0.879461538461538,0.904641025641026
"XGBoost","accuracy.all","undersample",1000,,50,0.5,6,6,100,0.891092307692308,0.878974358974359,0.903589743589744
"XGBoost","accuracy.all","undersample",1000,,50,0.5,6,8,100,0.891235897435897,0.880487179487179,0.901076923076923
"XGBoost","accuracy.all","undersample",1000,,50,0.5,6,10,100,0.891558974358974,0.879410256410256,0.903102564102564
"XGBoost","accuracy.all","undersample",1000,,50,0.5,6,12,100,0.892964102564103,0.876384615384615,0.906692307692308
"XGBoost","accuracy.all","undersample",1000,,50,0.5,8,2,100,0.897507692307692,0.886641025641026,0.910769230769231
"XGBoost","accuracy.all","undersample",1000,,50,0.5,8,4,100,0.89508717948718,0.881538461538461,0.908717948717949
"XGBoost","accuracy.all","undersample",1000,,50,0.5,8,6,100,0.895979487179487,0.881461538461538,0.905641025641026
"XGBoost","accuracy.all","undersample",1000,,50,0.5,8,8,100,0.897825641025641,0.883051282051282,0.910282051282051
"XGBoost","accuracy.all","undersample",1000,,50,0.5,8,10,100,0.894558974358974,0.881512820512821,0.906692307692308
"XGBoost","accuracy.all","undersample",1000,,50,0.5,8,12,100,0.895805128205128,0.883,0.90725641025641
"XGBoost","accuracy.all","undersample",1000,,50,0.5,10,2,100,0.897917948717949,0.886076923076923,0.912820512820513
"XGBoost","accuracy.all","undersample",1000,,50,0.5,10,4,100,0.89765641025641,0.883076923076923,0.912333333333333
"XGBoost","accuracy.all","undersample",1000,,50,0.5,10,6,100,0.898241025641026,0.885128205128205,0.909769230769231
"XGBoost","accuracy.all","undersample",1000,,50,0.5,10,8,100,0.897928205128205,0.886153846153846,0.909333333333333
"XGBoost","accuracy.all","undersample",1000,,50,0.5,10,10,100,0.896558974358974,0.884615384615385,0.911820512820513
"XGBoost","accuracy.all","undersample",1000,,50,0.5,10,12,100,0.898666666666667,0.887692307692308,0.910820512820513
"XGBoost","accuracy.all","undersample",1000,,50,0.5,12,2,100,0.897676923076923,0.883051282051282,0.90925641025641
"XGBoost","accuracy.all","undersample",1000,,50,0.5,12,4,100,0.898876923076923,0.887692307692308,0.909282051282051
"XGBoost","accuracy.all","undersample",1000,,50,0.5,12,6,100,0.898394871794872,0.884589743589744,0.911820512820513
"XGBoost","accuracy.all","undersample",1000,,50,0.5,12,8,100,0.8986,0.886128205128205,0.912333333333333
"XGBoost","accuracy.all","undersample",1000,,50,0.5,12,10,100,0.898584615384615,0.886641025641026,0.910846153846154
"XGBoost","accuracy.all","undersample",1000,,50,0.5,12,12,100,0.898574358974359,0.886102564102564,0.910820512820513
"XGBoost","accuracy.all","undersample",1000,,50,0.75,2,2,50,0.87214358974359,0.856871794871795,0.887717948717949
"XGBoost","accuracy.all","undersample",1000,,50,0.75,2,4,50,0.874553846153846,0.858307692307692,0.890025641025641
"XGBoost","accuracy.all","undersample",1000,,50,0.75,2,6,50,0.874666666666667,0.859717948717949,0.889282051282051
"XGBoost","accuracy.all","undersample",1000,,50,0.75,2,8,50,0.874523076923077,0.863307692307692,0.887179487179487
"XGBoost","accuracy.all","undersample",1000,,50,0.75,2,10,50,0.873076923076923,0.859205128205128,0.883871794871795
"XGBoost","accuracy.all","undersample",1000,,50,0.75,2,12,50,0.874789743589744,0.860410256410256,0.887051282051282
"XGBoost","accuracy.all","undersample",1000,,50,0.75,4,2,50,0.887538461538461,0.873333333333333,0.902564102564103
"XGBoost","accuracy.all","undersample",1000,,50,0.75,4,4,50,0.886984615384615,0.873846153846154,0.898435897435897
"XGBoost","accuracy.all","undersample",1000,,50,0.75,4,6,50,0.888594871794872,0.878538461538461,0.900512820512821
"XGBoost","accuracy.all","undersample",1000,,50,0.75,4,8,50,0.887907692307692,0.874076923076923,0.898512820512821
"XGBoost","accuracy.all","undersample",1000,,50,0.75,4,10,50,0.889005128205128,0.873230769230769,0.904435897435897
"XGBoost","accuracy.all","undersample",1000,,50,0.75,4,12,50,0.8872,0.876641025641026,0.897205128205128
"XGBoost","accuracy.all","undersample",1000,,50,0.75,6,2,50,0.894358974358974,0.880128205128205,0.907230769230769
"XGBoost","accuracy.all","undersample",1000,,50,0.75,6,4,50,0.893179487179487,0.881153846153846,0.904153846153846
"XGBoost","accuracy.all","undersample",1000,,50,0.75,6,6,50,0.892338461538462,0.881948717948718,0.901820512820513
"XGBoost","accuracy.all","undersample",1000,,50,0.75,6,8,50,0.893435897435897,0.881769230769231,0.903358974358974
"XGBoost","accuracy.all","undersample",1000,,50,0.75,6,10,50,0.892676923076923,0.883589743589744,0.902666666666667
"XGBoost","accuracy.all","undersample",1000,,50,0.75,6,12,50,0.893107692307692,0.880692307692308,0.905846153846154
"XGBoost","accuracy.all","undersample",1000,,50,0.75,8,2,50,0.895835897435897,0.883307692307692,0.906435897435897
"XGBoost","accuracy.all","undersample",1000,,50,0.75,8,4,50,0.895538461538462,0.881948717948718,0.910230769230769
"XGBoost","accuracy.all","undersample",1000,,50,0.75,8,6,50,0.896041025641026,0.883205128205128,0.903589743589744
"XGBoost","accuracy.all","undersample",1000,,50,0.75,8,8,50,0.895353846153846,0.882794871794872,0.905923076923077
"XGBoost","accuracy.all","undersample",1000,,50,0.75,8,10,50,0.895005128205128,0.885871794871795,0.903923076923077
"XGBoost","accuracy.all","undersample",1000,,50,0.75,8,12,50,0.893784615384615,0.883820512820513,0.906025641025641
"XGBoost","accuracy.all","undersample",1000,,50,0.75,10,2,50,0.89574358974359,0.882692307692308,0.906435897435897
"XGBoost","accuracy.all","undersample",1000,,50,0.75,10,4,50,0.897097435897436,0.885589743589744,0.910538461538462
"XGBoost","accuracy.all","undersample",1000,,50,0.75,10,6,50,0.894769230769231,0.884333333333333,0.906205128205128
"XGBoost","accuracy.all","undersample",1000,,50,0.75,10,8,50,0.894861538461538,0.884333333333333,0.906153846153846
"XGBoost","accuracy.all","undersample",1000,,50,0.75,10,10,50,0.894133333333333,0.881897435897436,0.904897435897436
"XGBoost","accuracy.all","undersample",1000,,50,0.75,10,12,50,0.895682051282051,0.881435897435897,0.907179487179487
"XGBoost","accuracy.all","undersample",1000,,50,0.75,12,2,50,0.894523076923077,0.884615384615385,0.905179487179487
"XGBoost","accuracy.all","undersample",1000,,50,0.75,12,4,50,0.896235897435897,0.882230769230769,0.906205128205128
"XGBoost","accuracy.all","undersample",1000,,50,0.75,12,6,50,0.894533333333333,0.881769230769231,0.904666666666667
"XGBoost","accuracy.all","undersample",1000,,50,0.75,12,8,50,0.894276923076923,0.879,0.903871794871795
"XGBoost","accuracy.all","undersample",1000,,50,0.75,12,10,50,0.895353846153846,0.88325641025641,0.908076923076923
"XGBoost","accuracy.all","undersample",1000,,50,0.75,12,12,50,0.895661538461539,0.886384615384615,0.90848717948718
"XGBoost","accuracy.all","undersample",1000,,50,0.9,2,2,50,0.8736,0.862794871794872,0.884666666666667
"XGBoost","accuracy.all","undersample",1000,,50,0.9,2,4,50,0.871907692307692,0.854820512820513,0.886153846153846
"XGBoost","accuracy.all","undersample",1000,,50,0.9,2,6,50,0.873661538461538,0.860974358974359,0.884153846153846
"XGBoost","accuracy.all","undersample",1000,,50,0.9,2,8,50,0.872841025641026,0.860230769230769,0.885794871794872
"XGBoost","accuracy.all","undersample",1000,,50,0.9,2,10,50,0.872307692307692,0.857564102564103,0.887051282051282
"XGBoost","accuracy.all","undersample",1000,,50,0.9,2,12,50,0.871158974358974,0.855897435897436,0.885410256410256
"XGBoost","accuracy.all","undersample",1000,,50,0.9,4,2,50,0.887887179487179,0.877435897435897,0.898
"XGBoost","accuracy.all","undersample",1000,,50,0.9,4,4,50,0.887651282051282,0.873,0.89925641025641
"XGBoost","accuracy.all","undersample",1000,,50,0.9,4,6,50,0.886441025641026,0.874025641025641,0.896923076923077
"XGBoost","accuracy.all","undersample",1000,,50,0.9,4,8,50,0.887364102564103,0.875102564102564,0.89874358974359
"XGBoost","accuracy.all","undersample",1000,,50,0.9,4,10,50,0.886153846153846,0.872769230769231,0.899076923076923
"XGBoost","accuracy.all","undersample",1000,,50,0.9,4,12,50,0.886923076923077,0.875102564102564,0.900615384615385
"XGBoost","accuracy.all","undersample",1000,,50,0.9,6,2,50,0.891989743589744,0.878923076923077,0.904615384615385
"XGBoost","accuracy.all","undersample",1000,,50,0.9,6,4,50,0.891805128205128,0.877666666666667,0.904435897435897
"XGBoost","accuracy.all","undersample",1000,,50,0.9,6,6,50,0.890338461538462,0.875282051282051,0.904666666666667
"XGBoost","accuracy.all","undersample",1000,,50,0.9,6,8,50,0.889938461538462,0.872666666666667,0.901820512820513
"XGBoost","accuracy.all","undersample",1000,,50,0.9,6,10,50,0.889764102564103,0.875,0.901846153846154
"XGBoost","accuracy.all","undersample",1000,,50,0.9,6,12,50,0.89108717948718,0.877666666666667,0.903358974358974
"XGBoost","accuracy.all","undersample",1000,,50,0.9,8,2,50,0.891917948717949,0.879,0.902333333333333
"XGBoost","accuracy.all","undersample",1000,,50,0.9,8,4,50,0.891035897435897,0.880230769230769,0.903974358974359
"XGBoost","accuracy.all","undersample",1000,,50,0.9,8,6,50,0.892769230769231,0.882,0.903871794871795
"XGBoost","accuracy.all","undersample",1000,,50,0.9,8,8,50,0.891210256410256,0.882,0.900794871794872
"XGBoost","accuracy.all","undersample",1000,,50,0.9,8,10,50,0.889979487179487,0.872307692307692,0.900897435897436
"XGBoost","accuracy.all","undersample",1000,,50,0.9,8,12,50,0.892851282051282,0.882512820512821,0.904205128205128
"XGBoost","accuracy.all","undersample",1000,,50,0.9,10,2,50,0.891507692307692,0.873846153846154,0.903128205128205
"XGBoost","accuracy.all","undersample",1000,,50,0.9,10,4,50,0.892246153846154,0.884333333333333,0.901641025641026
"XGBoost","accuracy.all","undersample",1000,,50,0.9,10,6,50,0.894338461538462,0.881205128205128,0.905179487179487
"XGBoost","accuracy.all","undersample",1000,,50,0.9,10,8,50,0.891374358974359,0.87751282051282,0.902333333333333
"XGBoost","accuracy.all","undersample",1000,,50,0.9,10,10,50,0.89331282051282,0.88325641025641,0.903692307692308
"XGBoost","accuracy.all","undersample",1000,,50,0.9,10,12,50,0.893384615384615,0.879948717948718,0.905410256410256
"XGBoost","accuracy.all","undersample",1000,,50,0.9,12,2,50,0.890933333333333,0.88125641025641,0.901076923076923
"XGBoost","accuracy.all","undersample",1000,,50,0.9,12,4,50,0.891466666666667,0.880410256410256,0.900282051282051
"XGBoost","accuracy.all","undersample",1000,,50,0.9,12,6,50,0.891917948717949,0.877282051282051,0.904666666666667
"XGBoost","accuracy.all","undersample",1000,,50,0.9,12,8,50,0.89305641025641,0.878820512820513,0.901307692307692
"XGBoost","accuracy.all","undersample",1000,,50,0.9,12,10,50,0.892102564102564,0.881205128205128,0.905692307692308
"XGBoost","accuracy.all","undersample",1000,,50,0.9,12,12,50,0.891712820512821,0.878923076923077,0.902333333333333
"XGBoost","accuracy.all","undersample",1000,,50,0.95,2,2,50,0.873415384615385,0.860871794871795,0.887282051282051
