"Method","accuracyGroup","samplingMethod","nUndersample","kOversample","max.depth","eta","nround","nthread","B","mean","lower","upper"
"XGBoost","accuracy.all","none",,,150,0.9,8,6,50,0.940594871794872,0.931230769230769,0.946948717948718
"XGBoost","accuracy.all","none",,,200,0.5,12,6,50,0.940594871794872,0.934358974358974,0.947794871794872
"XGBoost","accuracy.all","none",,,50,0.5,10,12,50,0.940574358974359,0.929871794871795,0.947974358974359
"XGBoost","accuracy.all","none",,,50,0.75,10,6,50,0.940574358974359,0.933282051282051,0.948538461538462
"XGBoost","accuracy.all","none",,,150,0.9,12,12,50,0.940574358974359,0.934589743589744,0.947512820512821
"XGBoost","accuracy.all","none",,,100,0.75,12,4,50,0.940564102564103,0.933564102564103,0.946948717948718
"XGBoost","accuracy.all","none",,,150,0.95,12,12,50,0.940564102564102,0.93025641025641,0.948538461538462
"XGBoost","accuracy.all","none",,,200,0.75,12,12,50,0.94054358974359,0.934871794871795,0.947512820512821
"XGBoost","accuracy.all","none",,,250,0.95,12,8,50,0.94054358974359,0.934871794871795,0.947230769230769
"XGBoost","accuracy.all","none",,,50,0.9,8,6,50,0.940523076923077,0.934076923076923,0.946666666666667
"XGBoost","accuracy.all","none",,,100,0.75,8,6,50,0.940523076923077,0.931461538461539,0.948487179487179
"XGBoost","accuracy.all","none",,,50,0.75,8,12,50,0.94051282051282,0.933051282051282,0.947692307692308
"XGBoost","accuracy.all","none",,,100,0.9,10,10,50,0.94051282051282,0.932435897435897,0.950076923076923
"XGBoost","accuracy.all","none",,,100,0.75,10,2,50,0.940502564102564,0.933564102564103,0.947974358974359
"XGBoost","accuracy.all","none",,,100,0.75,12,8,50,0.940492307692308,0.932820512820513,0.946948717948718
"XGBoost","accuracy.all","none",,,100,0.75,12,10,50,0.940482051282051,0.933,0.94774358974359
"XGBoost","accuracy.all","none",,,200,0.5,12,8,50,0.940471794871795,0.932769230769231,0.947692307692308
"XGBoost","accuracy.all","none",,,250,0.9,12,2,50,0.940471794871795,0.934076923076923,0.947461538461538
"XGBoost","accuracy.all","none",,,100,0.5,12,10,50,0.940461538461538,0.933564102564103,0.948205128205128
"XGBoost","accuracy.all","none",,,250,0.9,8,10,50,0.940461538461538,0.933564102564103,0.948307692307692
